Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
RES,15.46,1781419.0,3364000000.0,0.0,418096000.0,114866000.0,443928000.0,235527000.0,214830000.0,0.76,14.91,1.05,0.0,0.0,0.0,91050000.0,3.120867662803146
RIO,51.15,2754515.0,86399000000.0,12910000000.0,3293000000.0,3472000000.0,62093000000.0,44611000000.0,1740000000.0,1.0,9.29,5.55,0.0,0.0,0.0,10550000000.0,18.52744252873564
RIOM,51.15,2754515.0,86399000000.0,12910000000.0,3293000000.0,3472000000.0,62093000000.0,44611000000.0,1740000000.0,1.0,9.29,5.55,0.0,0.0,0.0,10550000000.0,18.52744252873564
SLCA,19.86,4183800.0,1534000000.0,1270000000.0,212586000.0,92376000.0,1154971000.0,910777000.0,77480000.0,1.86,9.84,2.01,0.0,0.0,0.0,384567000.0,10.769082343830666
THO,91.95,2630691.0,4692000000.0,80000000.0,484844000.0,460488000.0,425238000.0,981391000.0,52700000.0,1.4,10.2,8.73,0.0,0.0,0.0,223258000.0,4.952220113851992
TKC,4.7,1758992.0,4051000000.0,0.0,6203431000.0,104102000.0,9665408000.0,18937381000.0,2180000000.0,0.66,6.31,0.75,0.0,0.0,0.0,4712333000.0,0.06650653669724771
TPH,13.38,3723110.0,2016000000.0,1450000000.0,51829000.0,3105553000.0,10528000.0,1875054000.0,152040000.0,1.14,7.98,1.66,0.0,0.0,0.0,282914000.0,0.06601058931860036
TRQ,2.21,10624993.0,4413000000.0,4170000000.0,1396675000.0,274142000.0,7346972000.0,4814095000.0,2010000000.0,0.71,11.83,0.19,0.0,0.0,0.0,1444783000.0,2.5682772388059703
UVXY,36.76,10662646.0,1678000000.0,442460000.0,379159000.0,748729000.0,323794000.0,783330000.0,24960000.0,0.51,14.85,4.53,0.0,0.0,0.0,234128000.0,17.360807291666667
VIPS,6.55,11421718.0,4335000000.0,1010000000.0,5650956000.0,6960251000.0,6660825000.0,23732244000.0,661880000.0,2.38,12.67,0.52,0.0,0.0,0.0,9973891000.0,0.9379562760621261
VIV,9.63,1604418.0,16283999999.999996,1720000000.0,11152456000.0,348755000.0,33222316000.0,31921477000.0,1690000000.0,1.56,8.82,1.09,0.0,0.0,0.0,4050338000.0,8.218873668639054
VT,76.8,1614411.0,598925000.0,1130000000.0,40465000.0,22597000.0,1658993000.0,1480419000.0,118600000.0,-1.02,3.11,1.62,0.0,0.0,0.0,108452000.0,2.771275295109612
X,29.85,10670060.0,5163000000.0,2540000000.0,1379000000.0,1738000000.0,4280000000.0,6541000000.0,177220000.0,4.2,9.63,3.03,0.0,0.0,0.0,1553000000.0,6.744441936576008
XBI,97.09,3924911.0,5163000000.0,2540000000.0,1379000000.0,1738000000.0,4280000000.0,6541000000.0,177220000.0,4.2,9.63,3.03,0.0,0.0,0.0,1553000000.0,6.744441936576008
XEC,90.44,1593469.0,8805000000.0,1490000000.0,460174000.0,49722000.0,3452452000.0,2474361000.0,95360000.0,1.11,14.81,6.24,0.0,0.0,0.0,400534000.0,18.33700188758389
