Ticker,Sector,Industry,Previous Close,Volume,Market Cap,Enterprise Value,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Assets,Intangible Assets,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),Price/Sales,EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,FCF,NAV,NAV%,NET-NET,NET-NET%,EY,EV/FCF,Tangible Book Value,Price/Tangible Book Value
LVS,Consumer Cyclical,Resorts & Casinos,59.33,4305363.0,47095000000.0,54970000000.0,11320000000.0,615000000.0,47000000.0,15516000000.0,20687000000.0,89000000.0,13052000000.0,787940000.0,1.59,12.45,3.47,4.8,0.0,0.0,0.0,2419000000.0,3710000000.0,17.48106523332519,-0.720079019482383,8.972636208160274,-0.8563228789726137,0.09895266365688488,21.095238095238095,10017000000.0,3.5724367575122296
MGA,Consumer Cyclical,Auto Parts,52.53,3191649.0,18388000000.0,22170000000.0,4360000000.0,6878000000.0,3379000000.0,8141000000.0,25393000000.0,650000000.0,13661000000.0,345920000.0,1.26,8.33,0.44,6.54,0.0,0.0,0.0,726000000.0,1910000000.0,7.295736434108528,-0.6633254991182036,-2.1195736434108525,-1.0978114279377413,0.003410146862483311,20.846089618703033,207053000.0,2.9702279126600435
MGM,Consumer Cyclical,Resorts & Casinos,27.91,5235302.0,14599000000.0,31170000000.0,13510000000.0,583096000.0,102292000.0,19635459000.0,29159178000.0,3877960000.0,17449276000.0,537900000.0,1.82,8.3,1.37,3.27,0.0,0.0,0.0,1499995000.0,643540000.0,5.079729202453987,0.14666573418825912,0.006427860429447853,-0.9985490157044136,0.00909090909090909,0.07509947643979058,165599172.0,0.8720937324493386
MPC,Energy,Oil & Gas Refining & Marketing,79.97,4523756.0,37429000000.0,55250000000.0,17270000000.0,4695000000.0,5550000000.0,26443000000.0,49047000000.0,0.0,27219000000.0,451010000.0,1.49,10.07,0.51,8.24,0.0,0.0,0.0,3011000000.0,3880000000.0,19.317969762419008,-0.5389506023289019,8.751555075593952,-0.7911323370979964,0.0009036027010499746,15.714373338785524,447211000.0,2.168964985208324
MT,Basic Materials,Steel,30.86,2601406.0,31588000000.0,45580000000.0,13520000000.0,5345000000.0,17986000000.0,36971000000.0,85297000000.0,443000000.0,44442000000.0,1010000000.0,3.33,6.04,0.42,5.179,0.0,0.0,0.0,2574000000.0,1550000000.0,0.0,-1.0,0.0,-1.0,28277.956103062374,4.4678294573643406e-05,0.0,0.7496242833976657
NFX,Energy,Oil & Gas E&P,28.83,1427296.0,5721000000.0,7800000000.0,2440000000.0,292000000.0,15000000.0,4099000000.0,4961000000.0,0.0,3553000000.0,197680000.0,1.97,14.99,2.59,1.93,0.0,0.0,0.0,326000000.0,337000000.0,15.322630569620253,0.16966645569620264,-0.04030957278481013,-1.0030770666247946,0.17813225806451616,5.29529828756886,1452585378.0,0.8549445828168043
NUE,Basic Materials,Steel,63.45,1557953.0,20474000000.0,23190000000.0,4290000000.0,2028545000.0,3461686000.0,5093147000.0,15841258000.0,914646000.0,6756470000.0,316340000.0,1.78,12.41,0.92,5.22,0.0,0.0,0.0,949104000.0,602710000.0,1.9415496809480401,0.4171895481372554,0.7231586144029171,-0.472146996786192,0.33593058863559033,6.6694402420574885,106494000.0,0.7056219129716229
PEG,Utilities,Utilities - Diversified,52.79,1518950.0,26583000000.0,39920000000.0,14330000000.0,1771000000.0,866000000.0,31797000000.0,42716000000.0,114000000.0,28869000000.0,505320000.0,0.11,12.27,2.89,4.29,0.0,0.0,0.0,313000000.0,929000000.0,-2.504383007417397,-2.133204980731854,-2.5270566419420093,-2.1434645438651625,1.26588493356731,169.02542372881356,-37140000.0,-0.8824528809908454
PPL,Utilities,Utilities - Regulated Electric,29.26,2813302.0,21127000000.0,41360000000.0,22380000000.0,1324000000.0,320000000.0,33092000000.0,41479000000.0,697000000.0,30718000000.0,719570000.0,0.45,14.56,2.73,2.016,0.0,0.0,0.0,485000000.0,672000000.0,14.986364763242706,-0.8626741980826289,-14.725022725394595,-1.1349310246989333,0.04565377272727272,25.454545454545453,3627000000.0,7.281952743314034
RIO,Basic Materials,Industrial Metals & Minerals,51.02,1403989.0,86434000000.0,100680000000.0,12910000000.0,3293000000.0,3472000000.0,62093000000.0,95726000000.0,3119000000.0,44611000000.0,1740000000.0,1.0,9.17,2.13,5.55,0.0,0.0,0.0,10550000000.0,12790000000.0,27.659482291779486,0.9827585872243361,23.762049171450233,0.7033727004623824,0.23286769911504426,20.95826893353941,12769000000.0,0.5043478345994205
SLCA,Basic Materials,Industrial Metals & Minerals,18.83,1771646.0,1527000000.0,2380000000.0,1270000000.0,212586000.0,92376000.0,1154971000.0,2307283000.0,150007000.0,910777000.0,77480000.0,1.86,9.79,1.02,2.01,0.0,0.0,0.0,384567000.0,146470000.0,16.75,-0.7250492449113592,-9.61231884057971,-1.1577859297534423,0.007579361080318452,27.873595505617978,23115000000.0,3.6370149253731343
TKC,Communication Services,Telecom Services,4.82,1028058.0,4253000000.0,4150000000.0000005,0.0,6203431000.0,104102000.0,9665408000.0,33982469000.0,8307576000.0,18937381000.0,2180000000.0,0.66,6.6,0.0,0.75,0.0,0.0,0.0,4712333000.0,717140000.0,27.744344882516927,3.1163716442903455,2.0374726204699325,-0.6977043589807221,0.013430099573257467,13.011049212489127,2786642000.0,0.24293238959292224
TPH,Consumer Cyclical,Residential Construction,12.4,3087647.0,1866000000.0,3150000000.0,1450000000.0,51829000.0,3105553000.0,10528000.0,3805381000.0,21657000.0,1875054000.0,152040000.0,1.14,7.38,0.58,1.66,0.0,0.0,0.0,282914000.0,99070000.0,32.29360255897641,0.7177448169668303,3.0354758096761296,-0.838538520761908,0.07207850931677018,12.080738350716588,1615326000.0,0.5821586478518888
TRQ,Basic Materials,Copper,2.12,4385600.0,4239000000.0,6150000000.0,4170000000.0,1396675000.0,274142000.0,7346972000.0,12833319000.0,0.0,4814095000.0,2009999999.9999998,0.71,11.4,3.9,0.19,0.0,0.0,0.0,1444783000.0,1040000000.0,29.746681415929203,-0.2647879037091151,1.3678097345132743,-0.9661935310303195,0.030276371308016876,42.36871508379888,26891000000.0,1.3601517236250047
